NUM_ORDEM,COD_ITEM,DT_EMISSAO,TIPO_ORDEM,QTDE,LISTAGG
1198353,71032,2024-07-05,OFA,20,CORTAR  - PENDENTE|ENTALHAR  - PENDENTE|DOBRAR  - PENDENTE
1198354,96943,2024-07-05,OFA,20,CORTAR  - PENDENTE|FURAR  - PENDENTE|ENTALHAR  - PENDENTE
1198355,96958,2024-07-05,OFA,20,CORTAR  - PENDENTE|FURAR  - PENDENTE|ENTALHAR  - PENDENTE
