NUM_ORDEM,COD_ITEM,DT_EMISSAO,TIPO_ORDEM,QTDE,LISTAGG
1198273,138090,2024-07-05,OFA,1,CORTAR  - PENDENTE|FURAR  - PENDENTE
1198281,138116,2024-07-05,OFA,1,PONTEAR  - PENDENTE|SOLDAR  - PENDENTE|LIMPAR-TANQUE  - PENDENTE|JATEAR  - PENDENTE|PINTAR  - PENDENTE
