NUM_ORDEM,COD_ITEM,DT_EMISSAO,TIPO_ORDEM,QTDE,LISTAGG
1198314,120360,2024-07-05,OFA,1,CORTAR  - PENDENTE|FURAR  - PENDENTE|LIMPAR-PLASMA  - PENDENTE|DOBRAR  - PENDENTE
1198317,126207,2024-07-05,OFA,1,CORTAR  - PENDENTE|FURAR  - PENDENTE|LIMPAR-PLASMA  - PENDENTE|DOBRAR  - PENDENTE
