NUM_ORDEM,COD_ITEM,DT_EMISSAO,TIPO_ORDEM,QTDE,LISTAGG
1198293,24089,2024-07-05,OFA,2,CORTAR  - PENDENTE|CORTAR  - PENDENTE|DOBRAR  - PENDENTE|DOBRAR  - PENDENTE
1198327,138093,2024-07-05,OFA,1,CORTAR  - PENDENTE|FURAR  - PENDENTE|LIMPAR-PLASMA  - PENDENTE|DOBRAR  - PENDENTE
1198328,138095,2024-07-05,OFA,1,CORTAR  - PENDENTE|FURAR  - PENDENTE|LIMPAR-PLASMA  - PENDENTE|DOBRAR  - PENDENTE
1198330,138105,2024-07-05,OFA,1,CORTAR  - PENDENTE|FURAR  - PENDENTE|LIMPAR-PLASMA  - PENDENTE|DOBRAR  - PENDENTE
1198331,138106,2024-07-05,OFA,1,CORTAR  - PENDENTE|FURAR  - PENDENTE|LIMPAR-PLASMA  - PENDENTE|DOBRAR  - PENDENTE
