NUM_ORDEM,COD_ITEM,DT_EMISSAO,TIPO_ORDEM,QTDE,LISTAGG
1198274,138091,2024-07-05,OFA,4,CORTAR  - PENDENTE|ENTALHAR  - PENDENTE
1198283,138139,2024-07-05,OFA,4,CORTAR  - PENDENTE|FURAR  - PENDENTE|LIMPAR-PLASMA  - PENDENTE
1198284,138140,2024-07-05,OFA,4,CORTAR  - PENDENTE|FURAR  - PENDENTE|LIMPAR-PLASMA  - PENDENTE
