NUM_ORDEM,COD_ITEM,DT_EMISSAO,TIPO_ORDEM,QTDE,LISTAGG
1167548,23586,2024-01-12,OFE,1,PARAFUSAR  - APONTADO: 1
1167549,23587,2024-01-12,OFE,1,PARAFUSAR  - APONTADO: 1
1167550,23588,2024-01-12,OFE,1,PARAFUSAR  - APONTADO: 1
