NUM_ORDEM,COD_ITEM,DT_EMISSAO,TIPO_ORDEM,QTDE,LISTAGG
1198300,24520,2024-07-05,OFA,5,CORTAR  - PENDENTE|CORTAR  - PENDENTE|FURAR  - PENDENTE|FURAR  - PENDENTE|LIMPAR-PLASMA  - PENDENTE|LIMPAR-PLASMA  - PENDENTE
1198242,122643,2024-07-05,OFA,1,CORTAR  - PENDENTE|FURAR  - PENDENTE|LIMPAR-PLASMA  - PENDENTE
1198251,136039,2024-07-05,OFA,2,CORTAR  - PENDENTE|FURAR  - PENDENTE|LIMPAR-PLASMA  - PENDENTE
1198262,138073,2024-07-05,OFA,1,CORTAR  - PENDENTE
1198290,15448,2024-07-05,OFA,10,CORTAR  - PENDENTE|CORTAR  - PENDENTE|LIMPAR-PLASMA  - PENDENTE|LIMPAR-PLASMA  - PENDENTE
1198291,15542,2024-07-05,OFA,4,CORTAR  - PENDENTE|LIMPAR-PLASMA  - PENDENTE
