COD_ITEM,NUM_ORDEM,QTDE,TIPO_ORDEM,DESC_TECNICA,PLANEJADOR,NUM_ITEM
122744,1167589,7,OFE,"PERFIL L FAB ENRIJECIDO GALV 1,90 30X56X202 C/F ESQ PM",PL004 - PUNCIONADEIRA (PRODUCAO),27
23593,1167382,1,OFE,"MARCO LATERAL INOX AISI 430 E 1,25 179X40X2300 EXP",PL004 - PUNCIONADEIRA (PRODUCAO),150
23612,1167388,2,OFE,"PERFIL U FAB PADRAO GALV 1,50 35X20X562,3 C/F EXP",PL002 - PLASMA (PRODUCAO),76
23596,1167552,1,OFE,"MODULO INTERMEDIARIO INFERIOR GALV 2,65 1000X290X100 PM",PL002 - PLASMA (PRODUCAO),74
81573,1167784,1,OFE,"FLAMULA LATERAL ASTM A36 6,35 249,6X117,7X6,4",PL002 - PLASMA (PRODUCAO),116
11844,1167515,2,OFE,"TAMPA SUPERIOR GALV 2,65 445,6X245,3X25 S/RECORTE EXP",PL002 - PLASMA (PRODUCAO),142
11151,1167498,1,OFE,"PERFIL U FAB PADRAO ASTM A36 4,75 255X65X40 C/F ESQ",PL002 - PLASMA (PRODUCAO),32
11009,1167495,1,OFE,"CHAPA FAB PLANA RETANGULAR ASTM A36 7,94 200X120X7,9 C/F PM",PL002 - PLASMA (PRODUCAO),117
23168,1167373,1,OFE,"PERFIL U FAB PADRAO GALV 1,50 70X20X660,3 C/F EXP",PL003 - GUILHOTINA (PRODUCAO),149
23164,1167372,1,OFE,"PERFIL L FAB ABAS DESIGUAIS GALV 1,50 15X20X920 C/F EXP",PL003 - GUILHOTINA (PRODUCAO),164
23129,1167364,2,OFE,"PERFIL L FAB ABAS DESIGUAIS GALV 1,50 15X20X1000 C/F EXP",PL003 - GUILHOTINA (PRODUCAO),36
105280,1167409,1,OFE,"CONJUNTO PE DE GUIA 285X385,2X933,5 EXP",PL010 - SOLDA (PRODUCAO),50
107553,1167572,1,OFE,"CONJUNTO SUPORTE FIXACAO 162X162X346,4",PL010 - SOLDA (PRODUCAO),50
19234,1167213,9,OFE,"CONJUNTO SUPORTE FIXACAO 294,8X93X340 EXP",PL010 - SOLDA (PRODUCAO),178
23309,1167547,1,OFE,"POLIA FAB FUNDIDA DE CANAIS FOFO 370,2X94X370,2 4 CANAIS CABO 3/8 PM",PL011 - PINTURA (PRODUCAO),117
108314,1167574,1,OFE,"TUBO FAB QUADRADO ASTM A36 2,00 25X25X855 CONF PM",PL001 - SERRA FITA (PRODUCAO),69
23603,1167553,2,OFE,"PAINEL SUPERIOR INOX AISI 430 E 1,25 295X45X970 C/F PM",PL004 - PUNCIONADEIRA (PRODUCAO),13
23598,1167709,1,OFE,"MODULO SUPERIOR GALV 1,50 967X35X356,9 TRASEIRO PM",PL004 - PUNCIONADEIRA (PRODUCAO),102
23604,1167386,1,OFE,"PERFIL Z FAB PADRAO GALV 2,65 120X37,7X800 C/F EXP",PL002 - PLASMA (PRODUCAO),37
87903,1167785,1,OFE,"FIXACAO BASE ASTM A36 6,35 160X115X287,5",PL002 - PLASMA (PRODUCAO),50
11844,1167515,2,OFE,"TAMPA SUPERIOR GALV 2,65 445,6X245,3X25 S/RECORTE EXP",PL002 - PLASMA (PRODUCAO),55
108317,1167415,1,OFE,"CONJUNTO ACIONAMENTO 117,4X138X855 EXP",PL009 - PRE-MONTAGEM (PRODUCAO),69
23587,1167549,1,OFE,"CJ MODULO INTERMEDIARIO 967X36,5X356,9 PM",PL009 - PRE-MONTAGEM (PRODUCAO),102
18087,1167347,1,OFE,"CONJUNTO ARCADINHA 142,1X443,7X856 EXP",PL009 - PRE-MONTAGEM (PRODUCAO),117
108288,1167573,1,OFE,"CONJUNTO ACIONAMENTO 104,3X138X25 CONF PM",PL010 - SOLDA (PRODUCAO),69
47239,1167715,1,OFE,"TUBO FAB QUADRADO SAE 1020 3,0 100X100X340",PL001 - SERRA FITA (PRODUCAO),50
11179,1167687,1,OFE,"TUBO FAB QUADRADO ASTM A36 6,35 100X100X748",PL001 - SERRA FITA (PRODUCAO),116
23152,1167365,1,OFE,"PERFIL U FAB ENRIJ FECH 2 LADOS GALV 1,90 100X35X916 EXP",PL004 - PUNCIONADEIRA (PRODUCAO),73
23606,1167554,1,OFE,"MODULO INFERIOR GALV 2,65 1000X315X100 PM",PL002 - PLASMA (PRODUCAO),74
11150,1167497,1,OFE,"PERFIL U FAB PADRAO ASTM A36 4,75 255X65X40 C/F",PL002 - PLASMA (PRODUCAO),32
11016,1167761,1,OFE,"CHAPA FAB PLANA RETANGULAR ASTM A36 6,35 160X55X6,4",PL003 - GUILHOTINA (PRODUCAO),50
49247,1167226,101,OFE,"BARRA FAB ESTRELA ASTM A36 10,5X10,5X300 EXP",PL007 - METALEIRA (PRODUCAO),34
122745,1167426,7,OFE,"CONJUNTO FECHAMENTO 31,5X57,5X202 C/E ESQ EXP",PL009 - PRE-MONTAGEM (PRODUCAO),7
87902,1167728,1,OFE,"CONJUNTO FIXACAO 160X115X287,5",PL010 - SOLDA (PRODUCAO),50
72144,1167726,1,OFE,CONJUNTO FIXACAO 134X267X160,PL010 - SOLDA (PRODUCAO),50
62757,1167563,1,OFE,"CONJUNTO ACIONAMENTO 104X61,6X306 CONF PM",PL010 - SOLDA (PRODUCAO),116
23611,1167556,1,OFE,"CHAPA FAB PLANA RETANGULAR GALV 2,65 785X715,2X2,7 C/F PM",PL004 - PUNCIONADEIRA (PRODUCAO),75
23599,1167383,1,OFE,"PAINEL CANTO INOX AISI 430 E 1,25 70X188X2300 EXP",PL004 - PUNCIONADEIRA (PRODUCAO),12
23595,1167551,1,OFE,"MODULO INFERIOR GALV 2,65 1000X315X100 ABA MAIOR PM",PL002 - PLASMA (PRODUCAO),74
11146,1167496,1,OFE,"PERFIL U FAB PADRAO ASTM A36 6,35 108X53X190 C/F PM",PL002 - PLASMA (PRODUCAO),117
11126,1167688,1,OFE,"PERFIL L FAB ABAS DESIGUAIS ASTM A36 4,75 176X63X205 C/F ESQ",PL002 - PLASMA (PRODUCAO),116
11026,1167763,2,OFE,"CHAPA FAB PLANA TRIANGULAR ASTM A36 4,75 90X90X4,8",PL002 - PLASMA (PRODUCAO),32
11017,1167685,2,OFE,"CHAPA FAB PLANA RETANGULAR ASTM A36 4,75 148X80X4,8 C/F",PL002 - PLASMA (PRODUCAO),50
19232,1167366,9,OFE,"PERFIL U FAB PADRAO ASTM A36 4,75 55X80X290",PL002 - PLASMA (PRODUCAO),178
23160,1167545,2,OFE,"PERFIL L FAB ABAS DESIGUAIS GALV 1,50 25X20X890 C/F PM",PL003 - GUILHOTINA (PRODUCAO),13
49247,1167226,101,OFE,"BARRA FAB ESTRELA ASTM A36 10,5X10,5X300 EXP",PL007 - METALEIRA (PRODUCAO),171
49247,1167226,101,OFE,"BARRA FAB ESTRELA ASTM A36 10,5X10,5X300 EXP",PL007 - METALEIRA (PRODUCAO),166
81571,1167727,1,OFE,CONJUNTO SUPORTE FIXACAO 120X124X256,PL010 - SOLDA (PRODUCAO),116
23161,1167371,1,OFE,"FECHAMENTO SUPERIOR INOX AISI 430 E 1,25 40X105X916 EXP",PL004 - PUNCIONADEIRA (PRODUCAO),101
11023,1167686,1,OFE,"CHAPA FAB PLANA RETANGULAR ASTM A36 3,17 85X27X3,2 C/F",PL002 - PLASMA (PRODUCAO),69
11006,1167494,2,OFE,"CHAPA FAB PLANA RETANGULAR ASTM A36 4,75 380X420X4,8 C/C PM",PL002 - PLASMA (PRODUCAO),117
93529,1167570,1,OFE,"PERFIL L FAB ABAS DESIGUAIS ASTM A36 6,35 190X100X40",PL003 - GUILHOTINA (PRODUCAO),50
108284,1167414,1,OFE,"CONJUNTO VIGA DE TRACAO 282,5X396,3X761 EXP",PL009 - PRE-MONTAGEM (PRODUCAO),116
23586,1167548,1,OFE,"CJ MODULO FRONTAL 967X67,4X356,9 PM",PL009 - PRE-MONTAGEM (PRODUCAO),102
