COD_ITEM,NUM_ORDEM,QTDE,TIPO_ORDEM,DESC_TECNICA,PLANEJADOR,NUM_ITEM
122744,1167589,7,OFE,"PERFIL L FAB ENRIJECIDO GALV 1,90 30X56X202 C/F ESQ PM",PL004 - PUNCIONADEIRA (PRODUCAO),151
23597,1167708,1,OFE,"MODULO INTERMEDIARIO SUPERIOR GALV 1,50 967X35X333,4 PM",PL004 - PUNCIONADEIRA (PRODUCAO),102
18101,1167350,1,OFE,"PERFIL U FAB PADRAO ASTM A36 3,17 101X40X761 EXP",PL004 - PUNCIONADEIRA (PRODUCAO),6
23170,1167374,2,OFE,"PERFIL U FAB PADRAO GALV 1,50 35X20X660,3 C/F EXP",PL002 - PLASMA (PRODUCAO),35
131991,1167755,1,OFE,"PERFIL U FAB PADRAO ASTM A36 6,35 143X96X113,7 C/E",PL002 - PLASMA (PRODUCAO),116
11163,1167501,1,OFE,"PERFIL U FAB PADRAO ASTM A36 3,17 108X47X848 C/F C/E PM",PL002 - PLASMA (PRODUCAO),117
11088,1167680,1,OFE,"FIXACAO BASE ASTM A36 3,17 104X39,5X256",PL002 - PLASMA (PRODUCAO),116
11024,1167762,2,OFE,"CHAPA FAB PLANA TRIANGULAR ASTM A36 4,75 100X100X4,8",PL002 - PLASMA (PRODUCAO),32
131992,1167756,1,OFE,"CHAPA FAB PLANA RETANGULAR ASTM A36 6,35 130,5X23,5X6,4",PL003 - GUILHOTINA (PRODUCAO),116
11154,1167765,1,OFE,"PERFIL U FAB PADRAO ASTM A36 3,17 88X88X55",PL003 - GUILHOTINA (PRODUCAO),50
122743,1167425,7,OFE,"CONJUNTO FECHAMENTO 31,5X57,5X202 ESQ EXP",PL009 - PRE-MONTAGEM (PRODUCAO),151
23588,1167550,1,OFE,"CJ MODULO TRASEIRO 967X36,5X333,4 PM",PL009 - PRE-MONTAGEM (PRODUCAO),102
122746,1167590,7,OFE,"PERFIL L FAB ENRIJECIDO GALV 1,90 56X30X202 C/F C/E ESQ PM",PL004 - PUNCIONADEIRA (PRODUCAO),40
122746,1167590,7,OFE,"PERFIL L FAB ENRIJECIDO GALV 1,90 56X30X202 C/F C/E ESQ PM",PL004 - PUNCIONADEIRA (PRODUCAO),7
105278,1167731,1,OFE,"PERFIL U FAB PADRAO ASTM A36 3,17 148X40X924",PL004 - PUNCIONADEIRA (PRODUCAO),50
23600,1167384,1,OFE,"PAINEL CANTO INOX AISI 430 E 1,25 70X188X2300 ESQ EXP",PL004 - PUNCIONADEIRA (PRODUCAO),57
18103,1167351,1,OFE,"PERFIL U FAB FECH 2 LADOS ASTM A36 3,17 110X40X767,5 EXP",PL004 - PUNCIONADEIRA (PRODUCAO),141
11130,1167689,1,OFE,"PERFIL L FAB ABAS DESIGUAIS ASTM A36 4,75 176X63X205 C/F",PL002 - PLASMA (PRODUCAO),116
11161,1167500,3,OFE,"PERFIL U FAB PADRAO ASTM A36 4,75 89,5X30X1004",PL003 - GUILHOTINA (PRODUCAO),96
122745,1167426,7,OFE,"CONJUNTO FECHAMENTO 31,5X57,5X202 C/E ESQ EXP",PL009 - PRE-MONTAGEM (PRODUCAO),40
122743,1167425,7,OFE,"CONJUNTO FECHAMENTO 31,5X57,5X202 ESQ EXP",PL009 - PRE-MONTAGEM (PRODUCAO),27
23591,1167380,1,OFE,"CJ QUADRO SUPERIOR 967X67,4X1047 EXP",PL009 - PRE-MONTAGEM (PRODUCAO),102
23589,1167379,1,OFE,"CJ QUADRO INFERIOR 122,7X1105X920 EXP",PL009 - PRE-MONTAGEM (PRODUCAO),74
18093,1167349,3,OFE,"CONJUNTO TRAVEJAMENTO 89,5X247,3X1004 EXP",PL010 - SOLDA (PRODUCAO),96
18090,1167348,1,OFE,"CONJUNTO TRAVEJAMENTO 754X255X69,8 EXP",PL010 - SOLDA (PRODUCAO),32
23613,1167389,1,OFE,"PERFIL U FAB PADRAO GALV 1,50 70X20X544,3 C/F EXP",PL004 - PUNCIONADEIRA (PRODUCAO),165
23609,1167387,1,OFE,"PAINEL CANTO INOX AISI 430 E 1,25 99X150X2300 C/E EXP",PL004 - PUNCIONADEIRA (PRODUCAO),125
23607,1167555,1,OFE,"PAINEL SUPERIOR INOX AISI 430 P 1,25 300X60X970 C/F PM",PL004 - PUNCIONADEIRA (PRODUCAO),13
11169,1167502,1,OFE,"PERFIL U FAB PADRAO ASTM A36 4,75 674X40X65 C/F",PL004 - PUNCIONADEIRA (PRODUCAO),32
23608,1167710,1,OFE,"MODULO SUPERIOR GALV 1,50 967X35X356,9 FRONTAL PM",PL002 - PLASMA (PRODUCAO),102
23163,1167703,1,OFE,"FIXACAO BASE GALV 2,65 140X41X912,7 PM",PL002 - PLASMA (PRODUCAO),102
81572,1167783,1,OFE,"PERFIL L FAB ENRIJECIDO ASTM A36 6,35 113,7X124X256",PL002 - PLASMA (PRODUCAO),116
10782,1167681,1,OFE,"FIXACAO ACIONAMENTO ASTM A36 4,75 30X30X120",PL002 - PLASMA (PRODUCAO),116
16672,1167345,1,OFE,"PERFIL L FAB ABAS DESIGUAIS ASTM A36 4,75 120X40X160 EXP",PL002 - PLASMA (PRODUCAO),3
11144,1167764,2,OFE,"PERFIL U FAB PADRAO ASTM A36 6,35 160X67X267",PL003 - GUILHOTINA (PRODUCAO),50
49247,1167226,101,OFE,"BARRA FAB ESTRELA ASTM A36 10,5X10,5X300 EXP",PL007 - METALEIRA (PRODUCAO),19
23601,1167385,1,OFE,"CJ TAMPA SUPERIOR 785X715,2X96,5 EXP",PL009 - PRE-MONTAGEM (PRODUCAO),75
23592,1167381,1,OFE,"CONJUNTO SUBTETO 890X104,3X970 EXP",PL009 - PRE-MONTAGEM (PRODUCAO),13
105279,1167571,1,OFE,"CONJUNTO FIXACAO 148X80X933,5 S/F",PL010 - SOLDA (PRODUCAO),50
87904,1167568,1,OFE,"CONJUNTO FIXACAO 160X382X287,5",PL010 - SOLDA (PRODUCAO),50
62758,1167562,1,OFE,"CONJUNTO VIGA DE TRACAO 205X396,4X761 CONF PM",PL010 - SOLDA (PRODUCAO),116
