NUM_ORDEM,COD_ITEM,DT_EMISSAO,TIPO_ORDEM,QTDE,LISTAGG
1167494,11006,2024-01-12,OFE,2,CORTAR  - APONTADO: 2|FURAR  - APONTADO: 2|LIMPAR-PLASMA  - APONTADO: 2|LIMPAR-TANQUE  - APONTADO: 2|JATEAR  - APONTADO: 2|PINTAR  - APONTADO: 2
1167495,11009,2024-01-12,OFE,1,CORTAR  - APONTADO: 1|FURAR  - APONTADO: 1|LIMPAR-PLASMA  - APONTADO: 1|LIMPAR-TANQUE  - APONTADO: 1|JATEAR  - APONTADO: 1|PINTAR  - APONTADO: 1
1167496,11146,2024-01-12,OFE,1,CORTAR  - APONTADO: 1|FURAR  - APONTADO: 1|LIMPAR-PLASMA  - APONTADO: 1|DOBRAR  - APONTADO: 1|LIMPAR-TANQUE  - APONTADO: 1|JATEAR  - APONTADO: 1|PINTAR  - APONTADO: 1
1167501,11163,2024-01-12,OFE,1,CORTAR  - APONTADO: 1|FURAR  - APONTADO: 1|LIMPAR-PLASMA  - APONTADO: 1|DOBRAR  - APONTADO: 1|LIMPAR-TANQUE  - APONTADO: 1|JATEAR  - APONTADO: 1|PINTAR  - APONTADO: 1
1167547,23309,2024-01-12,OFE,1,LIMPAR-TANQUE  - APONTADO: 1|JATEAR  - APONTADO: 1|PINTAR  - APONTADO: 1
