NUM_ORDEM,COD_ITEM,DT_EMISSAO,TIPO_ORDEM,QTDE,LISTAGG
1167497,11150,2024-01-12,OFE,1,CORTAR  - APONTADO: 1|FURAR  - APONTADO: 1|LIMPAR-PLASMA  - APONTADO: 1|DOBRAR  - APONTADO: 1
1167498,11151,2024-01-12,OFE,1,CORTAR  - APONTADO: 1|FURAR  - APONTADO: 1|LIMPAR-PLASMA  - APONTADO: 1|DOBRAR  - APONTADO: 1
1167502,11169,2024-01-12,OFE,1,CORTAR  - APONTADO: 1|FURAR  - APONTADO: 1|DOBRAR  - APONTADO: 1
1167762,11024,2024-01-12,OFE,2,CORTAR  - APONTADO: 2|FURAR  - APONTADO: 2|LIMPAR-PLASMA  - APONTADO: 2
1167763,11026,2024-01-12,OFE,2,CORTAR  - APONTADO: 2|LIMPAR-PLASMA  - APONTADO: 2
