NUM_ORDEM,COD_ITEM,DT_EMISSAO,TIPO_ORDEM,QTDE,LISTAGG
1167687,11179,2024-01-12,OFE,1,CORTAR  - APONTADO: 1
1167688,11126,2024-01-12,OFE,1,CORTAR  - APONTADO: 1|FURAR  - APONTADO: 1|LIMPAR-PLASMA  - APONTADO: 1|DOBRAR  - APONTADO: 1
1167689,11130,2024-01-12,OFE,1,CORTAR  - APONTADO: 1|FURAR  - APONTADO: 1|LIMPAR-PLASMA  - APONTADO: 1|DOBRAR  - APONTADO: 1
1167727,81571,2024-01-12,OFE,1,PONTEAR  - APONTADO: 1|SOLDAR  - APONTADO: 1
1167755,131991,2024-01-12,OFE,1,CORTAR  - APONTADO: 1|FURAR  - APONTADO: 1|DOBRAR  - APONTADO: 1
1167756,131992,2024-01-12,OFE,1,CORTAR  - APONTADO: 1
