NUM_ORDEM,COD_ITEM,DT_EMISSAO,TIPO_ORDEM,QTDE,LISTAGG
1198348,26320,2024-07-05,OFA,3,CORTAR  - PENDENTE|CORTAR  - PENDENTE
1198359,138044,2024-07-05,OFA,3,CORTAR  - PENDENTE|ENTALHAR  - PENDENTE
