NUM_ORDEM,LISTAGG
1167383,CORTAR  - APONTADO: 1|FURAR  - APONTADO: 1|DOBRAR  - APONTADO: 1
1167384,CORTAR  - APONTADO: 1|FURAR  - APONTADO: 1|DOBRAR  - APONTADO: 1
1167385,PARAFUSAR  - APONTADO: 1
1167386,CORTAR  - APONTADO: 1|FURAR  - APONTADO: 1|LIMPAR-PLASMA  - APONTADO: 1|DOBRAR  - APONTADO: 1
1167387,CORTAR  - APONTADO: 1|FURAR  - APONTADO: 1|ENTALHAR  - APONTADO: 1|DOBRAR  - APONTADO: 1
1167388,CORTAR  - APONTADO: 2|FURAR  - APONTADO: 2|LIMPAR-PLASMA  - APONTADO: 2|DOBRAR  - APONTADO: 2
1167389,CORTAR  - APONTADO: 1|FURAR  - APONTADO: 1|DOBRAR  - APONTADO: 1
1167409,PONTEAR  - APONTADO: 1|SOLDAR  - APONTADO: 1|LIMPAR-TANQUE  - APONTADO: 1|JATEAR  - APONTADO: 1|PINTAR  - APONTADO: 1
1167414,PARAFUSAR  - APONTADO: 1
1167415,PARAFUSAR  - APONTADO: 1
1167425,PARAFUSAR  - APONTADO: 7|PARAFUSAR  - APONTADO: 7
1167426,PARAFUSAR  - APONTADO: 7|PARAFUSAR  - APONTADO: 7
1167494,CORTAR  - APONTADO: 2|FURAR  - APONTADO: 2|LIMPAR-PLASMA  - APONTADO: 2|LIMPAR-TANQUE  - APONTADO: 2|JATEAR  - APONTADO: 2|PINTAR  - APONTADO: 2
1167495,CORTAR  - APONTADO: 1|FURAR  - APONTADO: 1|LIMPAR-PLASMA  - APONTADO: 1|LIMPAR-TANQUE  - APONTADO: 1|JATEAR  - APONTADO: 1|PINTAR  - APONTADO: 1
1167496,CORTAR  - APONTADO: 1|FURAR  - APONTADO: 1|LIMPAR-PLASMA  - APONTADO: 1|DOBRAR  - APONTADO: 1|LIMPAR-TANQUE  - APONTADO: 1|JATEAR  - APONTADO: 1|PINTAR  - APONTADO: 1
1167497,CORTAR  - APONTADO: 1|FURAR  - APONTADO: 1|LIMPAR-PLASMA  - APONTADO: 1|DOBRAR  - APONTADO: 1
1167498,CORTAR  - APONTADO: 1|FURAR  - APONTADO: 1|LIMPAR-PLASMA  - APONTADO: 1|DOBRAR  - APONTADO: 1
1167500,CORTAR  - APONTADO: 3|ENTALHAR  - APONTADO: 3|DOBRAR  - APONTADO: 3
1167501,CORTAR  - APONTADO: 1|FURAR  - APONTADO: 1|LIMPAR-PLASMA  - APONTADO: 1|DOBRAR  - APONTADO: 1|LIMPAR-TANQUE  - APONTADO: 1|JATEAR  - APONTADO: 1|PINTAR  - APONTADO: 1
1167502,CORTAR  - APONTADO: 1|FURAR  - APONTADO: 1|DOBRAR  - APONTADO: 1
1167515,CORTAR  - APONTADO: 2|CORTAR  - APONTADO: 2|FURAR  - APONTADO: 2|FURAR  - APONTADO: 2|ENTALHAR  - APONTADO: 2|ENTALHAR  - APONTADO: 2|DOBRAR  - APONTADO: 2|DOBRAR  - APONTADO: 2
1167545,CORTAR  - APONTADO: 2|FURAR  - APONTADO: 2|DOBRAR  - APONTADO: 2
1167547,LIMPAR-TANQUE  - APONTADO: 1|JATEAR  - APONTADO: 1|PINTAR  - APONTADO: 1
1167548,PARAFUSAR  - APONTADO: 1
1167549,PARAFUSAR  - APONTADO: 1
1167550,PARAFUSAR  - APONTADO: 1
1167551,CORTAR  - APONTADO: 1|FURAR  - APONTADO: 1|LIMPAR-PLASMA  - APONTADO: 1|DOBRAR  - APONTADO: 1
1167552,CORTAR  - APONTADO: 1|FURAR  - APONTADO: 1|LIMPAR-PLASMA  - APONTADO: 1|DOBRAR  - APONTADO: 1
1167553,CORTAR  - APONTADO: 2|FURAR  - APONTADO: 2|DOBRAR  - APONTADO: 2
1167554,CORTAR  - APONTADO: 1|FURAR  - APONTADO: 1|LIMPAR-PLASMA  - APONTADO: 1|DOBRAR  - APONTADO: 1
1167555,CORTAR  - APONTADO: 1|FURAR  - APONTADO: 1|DOBRAR  - APONTADO: 1
1167556,CORTAR  - APONTADO: 1|CORTAR  - APONTADO: 1|FURAR  - APONTADO: 1
1167562,PONTEAR  - APONTADO: 1|SOLDAR  - APONTADO: 1|LIMPAR-TANQUE  - APONTADO: 1|JATEAR  - APONTADO: 1|PINTAR  - APONTADO: 1
1167563,PONTEAR  - APONTADO: 1|SOLDAR  - APONTADO: 1|LIMPAR-TANQUE  - APONTADO: 1|JATEAR  - APONTADO: 1|PINTAR  - APONTADO: 1
1167568,PONTEAR  - APONTADO: 1|SOLDAR  - APONTADO: 1
1167570,CORTAR  - APONTADO: 1|DOBRAR  - APONTADO: 1
1167571,PONTEAR  - APONTADO: 1|SOLDAR  - APONTADO: 1
1167572,PONTEAR  - APONTADO: 1|SOLDAR  - APONTADO: 1
1167573,PONTEAR  - APONTADO: 1|SOLDAR  - APONTADO: 1|LIMPAR-TANQUE  - APONTADO: 1|JATEAR  - APONTADO: 1|PINTAR  - APONTADO: 1
1167574,CORTAR  - APONTADO: 1|LIMPAR-TANQUE  - APONTADO: 1|JATEAR  - APONTADO: 1|PINTAR  - APONTADO: 1
1167589,CORTAR  - APONTADO: 7|CORTAR  - APONTADO: 7|FURAR  - APONTADO: 7|FURAR  - APONTADO: 7|ENTALHAR  - APONTADO: 7|ENTALHAR  - APONTADO: 7|DOBRAR  - APONTADO: 7|DOBRAR  - APONTADO: 7
1167590,CORTAR  - APONTADO: 7|CORTAR  - APONTADO: 7|FURAR  - APONTADO: 7|FURAR  - APONTADO: 7|ENTALHAR  - APONTADO: 7|ENTALHAR  - APONTADO: 7|DOBRAR  - APONTADO: 7|DOBRAR  - APONTADO: 7
1167680,CORTAR  - APONTADO: 1|FURAR  - APONTADO: 1|LIMPAR-PLASMA  - APONTADO: 1|DOBRAR  - APONTADO: 1|SOLDAR  - APONTADO: 1
1167681,CORTAR  - APONTADO: 1|FURAR  - APONTADO: 1|LIMPAR-PLASMA  - APONTADO: 1|DOBRAR  - APONTADO: 1
1167685,CORTAR  - APONTADO: 2|FURAR  - APONTADO: 2|LIMPAR-PLASMA  - APONTADO: 2
1167686,CORTAR  - APONTADO: 1|FURAR  - APONTADO: 1|LIMPAR-PLASMA  - APONTADO: 1
1167687,CORTAR  - APONTADO: 1
1167688,CORTAR  - APONTADO: 1|FURAR  - APONTADO: 1|LIMPAR-PLASMA  - APONTADO: 1|DOBRAR  - APONTADO: 1
1167689,CORTAR  - APONTADO: 1|FURAR  - APONTADO: 1|LIMPAR-PLASMA  - APONTADO: 1|DOBRAR  - APONTADO: 1
1167703,CORTAR  - APONTADO: 1|FURAR  - APONTADO: 1|LIMPAR-PLASMA  - APONTADO: 1|DOBRAR  - APONTADO: 1
1167708,CORTAR  - APONTADO: 1|FURAR  - APONTADO: 1|ENTALHAR  - APONTADO: 1|DOBRAR  - APONTADO: 1
1167709,CORTAR  - APONTADO: 1|CORTAR  - APONTADO: 1|FURAR  - APONTADO: 1|ENTALHAR  - APONTADO: 1|DOBRAR  - APONTADO: 1
1167710,CORTAR  - APONTADO: 1|FURAR  - APONTADO: 1|LIMPAR-PLASMA  - APONTADO: 1|DOBRAR  - APONTADO: 1
1167715,CORTAR  - APONTADO: 1
1167726,PONTEAR  - APONTADO: 1|SOLDAR  - APONTADO: 1
1167727,PONTEAR  - APONTADO: 1|SOLDAR  - APONTADO: 1
1167728,PONTEAR  - APONTADO: 1|SOLDAR  - APONTADO: 1
1167731,CORTAR  - APONTADO: 1|FURAR  - APONTADO: 1|DOBRAR  - APONTADO: 1
1167755,CORTAR  - APONTADO: 1|FURAR  - APONTADO: 1|DOBRAR  - APONTADO: 1
1167756,CORTAR  - APONTADO: 1
1167761,CORTAR  - APONTADO: 1
1167762,CORTAR  - APONTADO: 2|FURAR  - APONTADO: 2|LIMPAR-PLASMA  - APONTADO: 2
1167763,CORTAR  - APONTADO: 2|LIMPAR-PLASMA  - APONTADO: 2
1167764,CORTAR  - APONTADO: 2|DOBRAR  - APONTADO: 2
1167765,CORTAR  - APONTADO: 1|DOBRAR  - APONTADO: 1
1167783,CORTAR  - APONTADO: 1|FURAR  - APONTADO: 1|LIMPAR-PLASMA  - APONTADO: 1|DOBRAR  - APONTADO: 1|SOLDAR  - APONTADO: 1
1167784,CORTAR  - APONTADO: 1|FURAR  - APONTADO: 1|LIMPAR-PLASMA  - APONTADO: 1
1167785,CORTAR  - APONTADO: 1|FURAR  - APONTADO: 1|LIMPAR-PLASMA  - APONTADO: 1|DOBRAR  - APONTADO: 1|SOLDAR  - APONTADO: 1
