NUM_ORDEM,LISTAGG
1167213,PONTEAR  - APONTADO: 9|SOLDAR  - APONTADO: 9|LIMPAR-TANQUE  - APONTADO: 9|JATEAR  - APONTADO: 9|PINTAR  - APONTADO: 9
1167226,CORTAR  - APONTADO: 101|CORTAR  - APONTADO: 101|CORTAR  - APONTADO: 101|CORTAR  - APONTADO: 101
1167345,CORTAR  - APONTADO: 1|FURAR  - APONTADO: 1|LIMPAR-PLASMA  - APONTADO: 1|DOBRAR  - APONTADO: 1|LIMPAR-TANQUE  - APONTADO: 1|JATEAR  - APONTADO: 1|PINTAR  - APONTADO: 1
1167347,PARAFUSAR  - APONTADO: 1
1167348,PONTEAR  - APONTADO: 1|SOLDAR  - APONTADO: 1|LIMPAR-TANQUE  - APONTADO: 1|JATEAR  - APONTADO: 1|PINTAR  - APONTADO: 1
1167349,PONTEAR  - APONTADO: 3|SOLDAR  - APONTADO: 3|LIMPAR-TANQUE  - APONTADO: 3|JATEAR  - APONTADO: 3|PINTAR  - APONTADO: 3
1167350,CORTAR  - APONTADO: 1|FURAR  - APONTADO: 1|DOBRAR  - APONTADO: 1|LIMPAR-TANQUE  - APONTADO: 1|JATEAR  - APONTADO: 1|PINTAR  - APONTADO: 1
1167351,CORTAR  - APONTADO: 1|FURAR  - APONTADO: 1|ENTALHAR  - APONTADO: 1|DOBRAR  - APONTADO: 1|SOLDAR  - APONTADO: 1|LIMPAR-TANQUE  - APONTADO: 1|JATEAR  - APONTADO: 1|PINTAR  - APONTADO: 1
1167364,CORTAR  - APONTADO: 2|FURAR  - APONTADO: 2|DOBRAR  - APONTADO: 2
1167365,CORTAR  - APONTADO: 1|FURAR  - APONTADO: 1|ENTALHAR  - APONTADO: 1|DOBRAR  - APONTADO: 1
1167366,CORTAR  - APONTADO: 9|FURAR  - APONTADO: 9|LIMPAR-PLASMA  - APONTADO: 9|DOBRAR  - APONTADO: 9
1167371,CORTAR  - APONTADO: 1|FURAR  - APONTADO: 1|DOBRAR  - APONTADO: 1
1167372,CORTAR  - APONTADO: 1|FURAR  - APONTADO: 1|DOBRAR  - APONTADO: 1
1167373,CORTAR  - APONTADO: 1|FURAR  - APONTADO: 1|DOBRAR  - APONTADO: 1
1167374,CORTAR  - APONTADO: 2|FURAR  - APONTADO: 2|LIMPAR-PLASMA  - APONTADO: 2|DOBRAR  - APONTADO: 2
1167379,PARAFUSAR  - APONTADO: 1
1167380,PARAFUSAR  - APONTADO: 1
1167381,PARAFUSAR  - APONTADO: 1
1167382,CORTAR  - APONTADO: 1|FURAR  - APONTADO: 1|ENTALHAR  - APONTADO: 1|DOBRAR  - APONTADO: 1
