NUM_ORDEM,COD_ITEM,DT_EMISSAO,TIPO_ORDEM,QTDE,LISTAGG
1198293,24089,2024-07-05,OFA,2,CORTAR  - PENDENTE|CORTAR  - PENDENTE|DOBRAR  - PENDENTE|DOBRAR  - PENDENTE
1198324,138081,2024-07-05,OFA,1,CORTAR  - PENDENTE|FURAR  - PENDENTE|LIMPAR-PLASMA  - PENDENTE|DOBRAR  - PENDENTE
1198325,138084,2024-07-05,OFA,1,CORTAR  - PENDENTE|FURAR  - PENDENTE|LIMPAR-PLASMA  - PENDENTE|DOBRAR  - PENDENTE
1198326,138085,2024-07-05,OFA,1,CORTAR  - PENDENTE|FURAR  - PENDENTE|LIMPAR-PLASMA  - PENDENTE|DOBRAR  - PENDENTE
1198329,138101,2024-07-05,OFA,1,CORTAR  - PENDENTE|FURAR  - PENDENTE|LIMPAR-PLASMA  - PENDENTE|DOBRAR  - PENDENTE
