NUM_ORDEM,COD_ITEM,DT_EMISSAO,TIPO_ORDEM,QTDE,LISTAGG
1198258,138067,2024-07-05,OFA,8,CORTAR  - PENDENTE|FURAR  - PENDENTE|LIMPAR-PLASMA  - PENDENTE
1198266,138078,2024-07-05,OFA,4,CORTAR  - PENDENTE|ENTALHAR  - PENDENTE
