NUM_ORDEM,COD_ITEM,DT_EMISSAO,TIPO_ORDEM,QTDE,LISTAGG
1198320,138052,2024-07-05,OFA,2,CORTAR  - PENDENTE|FURAR  - PENDENTE|ENTALHAR  - PENDENTE|DOBRAR  - PENDENTE
1198322,138069,2024-07-05,OFA,4,CORTAR  - PENDENTE|CORTAR  - PENDENTE|FURAR  - PENDENTE|FURAR  - PENDENTE|LIMPAR-PLASMA  - PENDENTE|LIMPAR-PLASMA  - PENDENTE|DOBRAR  - PENDENTE|DOBRAR  - PENDENTE
1198323,138070,2024-07-05,OFA,4,CORTAR  - PENDENTE|CORTAR  - PENDENTE|FURAR  - PENDENTE|FURAR  - PENDENTE|LIMPAR-PLASMA  - PENDENTE|LIMPAR-PLASMA  - PENDENTE|DOBRAR  - PENDENTE|DOBRAR  - PENDENTE
