NUM_ORDEM,COD_ITEM,DT_EMISSAO,TIPO_ORDEM,QTDE,LISTAGG
1198318,128781,2024-07-05,OFA,24,CORTAR  - PENDENTE|FURAR  - PENDENTE|LIMPAR-PLASMA  - PENDENTE
1198350,44103,2024-07-05,OFA,24,CORTAR  - PENDENTE
