NUM_ORDEM,COD_ITEM,DT_EMISSAO,TIPO_ORDEM,QTDE,LISTAGG
1198246,131584,2024-07-05,OFA,16,CORTAR  - PENDENTE|FURAR  - PENDENTE
1198256,138059,2024-07-05,OFA,4,CORTAR  - PENDENTE|CORTAR  - PENDENTE
