NUM_ORDEM,COD_ITEM,DT_EMISSAO,TIPO_ORDEM,QTDE,LISTAGG
1198257,138064,2024-07-05,OFA,2,CORTAR  - PENDENTE|FURAR  - PENDENTE
1198275,138092,2024-07-05,OFA,6,CORTAR  - PENDENTE|CORTAR  - PENDENTE|FURAR  - PENDENTE|FURAR  - PENDENTE|LIMPAR-PLASMA  - PENDENTE|LIMPAR-PLASMA  - PENDENTE
