NUM_ORDEM,COD_ITEM,DT_EMISSAO,TIPO_ORDEM,QTDE,LISTAGG
1198346,24142,2024-07-05,OFA,2,CORTAR  - PENDENTE|CORTAR  - PENDENTE|FURAR  - PENDENTE|FURAR  - PENDENTE|LIMPAR-PLASMA  - PENDENTE|LIMPAR-PLASMA  - PENDENTE|DOBRAR  - PENDENTE|DOBRAR  - PENDENTE
1198347,24143,2024-07-05,OFA,3,CORTAR  - PENDENTE|CORTAR  - PENDENTE|FURAR  - PENDENTE|FURAR  - PENDENTE|LIMPAR-PLASMA  - PENDENTE|LIMPAR-PLASMA  - PENDENTE|DOBRAR  - PENDENTE|DOBRAR  - PENDENTE
