"COD_ITEM","NUM_ORDEM","QTDE","DESC_TECNICA"
"120320",1116828,2,"TUBO FAB REDONDO SAE 1020 1,90 348,4X250,9X152,9"
"120322",1116830,12,"TUBO FAB REDONDO SAE 1020 1,90 151,4X111,7X153,1"
"120333",1116735,1,"CONJUNTO SUPORTE FIXACAO 161X312X150,1 EXP"
"116680",1116736,2,"CJ BICA ENTRADA 272X389,9X340 EL6P EXP"
"120344",1116846,1,"PERFIL LAM FAB CANT ASTM A36 3,17 50,8X50,8X1890 C/C"
"120359",1117051,1,"RODAPE PADRAO SAE 1020 1,90 301,9X216,3X9,6 C/C"
"120373",1116740,2,"CONJUNTO FIXACAO 58X42,5X1351,1 EL6 EXP"
"126257",1116927,12,"PERFIL L FAB ABAS DESIGUAIS SAE 1020 2,65 37,7X42,9X251 C/F C/C"
"126258",1116928,1,"FECHAMENTO TRASEIRO SAE 1020 1,90 357,3X429,5X200"
"126263",1116931,1,"TRANSICAO EXCENTRICA SAE 1020 1,90 268,2X181,1X113,1"
"126265",1116933,1,"FECHAMENTO LATERAL SAE 1020 1,90 355,4X427,6X37,6 ESQ"
"126271",1116937,3,"CONJUNTO AMORTECEDOR 354X486,6X164,7 FINAL 45GRAUS DIAM 150 PM"
"126251",1116922,12,"LATERAL REDUCAO SAE 1020 1,90 152X76X30,8"
"10054",1117190,212,"ANEL LAM PADRAO ASTM A36 6,35 164,7X164,7X15,8 DIAM 150"
"16215",1117229,7,"PERFIL LAM FAB CANT ASTM A36 3,17 50,8X50,8X218 C/F"
"118019",1116875,2,"FECHAMENTO LATERAL SAE 1020 1,90 36,1X352,1X304 EL6P C/F ESQ"
"17380",1117125,6,"FLANGE LAM PADRAO ASTM A36 3,17 265,5X31,8X3,2 C/F"
"17403",1117128,4,"CHAPA FAB PLANA RETANGULAR SAE 1020 1,90 157,5X200X1,9"
"119183",1117073,16,"PERFIL LAM FAB CANT ASTM A36 3,17 50,8X50,8X1070,0 EXP"
"116686",1116752,1,"CJ BICA ENTRADA 322X493,9X384 EL8P EXP"
"120019",1117078,4,"CHAPA FAB PLANA RETANGULAR SAE 1020 4,75 38,1X45X4,8 EL11 C/F F/E"
"120028",1116883,1,"CHAPA FAB PLANA RETANGULAR SAE 1020 4,75 38,1X40X4,8 EL11 C/F"
"23713",1116797,4,"CONJUNTO DIVISOR 235,1X252,1X343,7 DIAM 150 EXP"
"24503",1117234,10,"FECHAMENTO LATERAL SAE 1020 1,90 148,1X148,1X60"
"24527",1117237,62,"BARRA FAB CHATA ASTM A36 3,17 152X38,1X3,2"
"26320",1117206,40,"TUBO FAB REDONDO SAE 1020 1,20 31,8X31,8X100"
"26739",1116983,6,"CURVA FAB FUNDIDA FOFO 243,4X214,5X214,7 DIAM 200 30GRAUS EXP"
"44709",1117160,1,"PERFIL LAM FAB CANT ASTM A36 3,17 50,8X50,8X2500 C/F P300 EXP"
"44721",1116991,1,"PERFIL LAM FAB CANT ASTM A36 3,17 50,8X50,8X2800 C/F P300 EXP"
"44103",1117164,39,"TUBO FAB REDONDO SAE 1020 1,20 28,6X28,6X50"
"57157",1116994,2,"RODAPE PADRAO SAE 1020 1,90 199,2X7X1815 C/F EXP"
"57160",1116995,36,"TUBO FAB REDONDO SAE 1020 1,20 31,8X31,8X1170 EXP"
"55707",1117170,9,"RODAPE PADRAO SAE 1020 1,90 197,9X7X100 P/ UNIAO EXP"
